author_id,isbn
1,0195153448
2,0195153448
3,0002005018
4,0060973129
5,0374157065
6,0393045218
7,0393045218
8,0399135782
9,0425176428
10,0671870432
11,0671870432
12,0679425608
13,074322678X
14,0771074670
15,080652121X
16,0887841740
17,1552041778
18,1558746218
19,1558746218
20,1558746218
21,1567407781
22,1567407781
23,1575663937
24,1881320189
25,0440234743
26,0452264464
27,0609804618
28,0609804618
29,0609804618
30,1841721522
31,1841721522
32,1841721522
33,1879384493
34,0061076031
36,0439095026
37,0689821166
38,0689821166
39,0689821166
40,0971880107
41,0345402871
41,0345417623
42,0684823802
43,0375759778
44,0425163091
45,3404921038
46,3404921038
47,3404921038
48,3442353866
49,3442353866
50,3442410665
51,3442446937
52,3442446937
53,0375406328
54,0446310786
55,0449005615
56,0060168013
57,038078243X
58,055321215X
59,067176537X
60,0061099686
61,0553582909
62,0671888587
61,0553582747
63,0425182908
64,042518630X
65,0440223571
66,0812523873
67,0842342702
68,0842342702
25,0440225701
69,0060914068
70,0156047624
71,0245542957
72,0380715899
73,0553280333
74,0553280333
75,0553280333
76,0961769947
77,0964778319
78,0671623249
79,0679810307
79,0679865691
80,2070423204
81,0345260317
82,0394743741
83,042511774X
8,0804106304
84,1853262404
85,0312970242
86,0312970242
87,1853260053
88,1414035004
89,1414035004
90,0060938412
91,0140067477
55,0345465083
92,0451625889
93,1558531025
94,0441783589
95,0394895894
3245,1569871213
96,0375410538
97,0966986105
98,087113375X
99,0340767936
100,0743403843
101,0060930365
102,0060177586
103,0071416331
104,0071416331
105,0375509038
106,0553062042
107,0316769487
108,0679429220
62,0671867156
109,0312252617
110,0312261594
111,0316748641
112,0316973742
113,0385235941
114,0446677450
115,0446677450
116,0451166892
117,0553347594
118,0671621009
119,067976397X
120,0684822733
121,0684822733
122,0786868716
123,0671864769
124,0671864769
125,0671521519
126,0440222303
127,0440222303
128,0312953453
129,0446608653
130,0446612545
131,0446612545
129,0446612618
132,0451208080
133,0553584383
134,0671027360
135,0812575954
136,0316735736
137,0743439740
138,0345372700
139,0380619458
138,0446325805
140,0451406923
141,0451406923
142,0451406923
143,0671042858
144,0743249992
145,0840734530
146,0425184226
147,0375500766
148,9724119378
149,0451205197
150,0060929790
151,0060976845
152,0061099325
62,0671004573
153,0446601640
154,0330484516
155,038572179X
156,0393020371
157,1900850303
158,1903019699
159,0345425294
160,0451410319
161,0553583468
162,0380778556
163,0451525221
164,0451525221
165,0002740230
166,0385336772
167,0440949424
168,0505524996
169,0140252800
170,0451452755
171,0812575482
153,044651747X
172,0060801263
173,0061030147
174,0061030147
175,0140250964
176,0446527165
177,0671461494
178,0385337639
179,039575514X
180,0451206673
181,0330332775
58,0486284735
182,0486284735
183,0671021745
183,0671047612
183,0671504282
184,0399138684
185,0785263292
186,0785263292
187,0830714014
188,0345354931
189,0553278223
190,3150000335
191,3150000335
189,3257203659
192,3257203659
193,3257207522
7554,3257207522
189,3257208626
189,3257208634
195,3257208634
189,3257208669
196,3257208669
189,3257210450
197,3257210450
189,3257212054
189,3257212429
189,3257214154
9158,3257214154
199,3257214154
189,3257216416
200,3257233051
201,3257233051
150,342311360X
203,3423116714
204,3423241489
205,3426605686
12210,3426605686
207,3453212150
208,3462021095
209,3492045642
210,3492045642
211,3492045642
212,3498020862
213,3498020862
214,3499110695
215,3499110695
4242,3499110695
217,3499110695
214,3499151502
215,3499151502
4242,3499151502
218,3518111000
7554,3518111000
219,3548254268
207,3570300099
220,3570300099
221,3596292646
222,0060977493
223,0312872682
130,0316602906
130,0316693006
51,0345311396
41,0345378490
51,0345404793
224,0345433173
225,0375400117
226,0375705856
227,0380717018
228,0380718332
229,0380754509
230,0380754509
231,038076654X
231,0380807866
232,0385316895
25,0385497466
25,0385508042
233,0385509456
25,0385511612
234,0385730586
235,0425164403
236,0440234964
130,0446605484
237,0446610399
238,0449006522
224,0449911004
143,0451162072
239,0451186648
240,0452282152
241,051513290X
242,0553580388
243,0590598848
244,0590629719
63,0671023616
134,0671027387
245,0684848783
134,0743486226
246,0786863986
247,0803251718
248,0804117934
249,140003180X
18,155874262X
19,155874262X
250,155874262X
251,0060987103
252,0151008116
253,0375704965
254,0525947647
255,0804111359
18,1558744150
19,1558744150
20,1558744150
256,0435272683
136,0316782505
257,006102063X
257,0060013117
257,0060199563
258,006052779X
259,006052779X
260,0060563079
261,0060809027
257,0061040967
262,0061040967
257,0061050474
257,0061052515
257,0061052523
263,0064472264
58,0140620664
264,0312148267
265,0312156960
266,0312890044
267,034543191X
268,034543191X
269,0373836023
270,0375751513
271,0375751513
272,0375801677
273,0375801677
274,0375814248
275,0375814248
95,0375823352
95,037582345X
95,0375823468
207,0380730448
189,0380973839
276,0385327773
277,0394586239
278,0439510112
279,0440241413
280,0451409256
281,0451523415
58,0451526279
282,0451526279
283,0451526341
284,0486415864
285,0553280589
56,0571197639
11850,0670035262
287,0670035262
288,0670035262
289,0670035262
284,0679423079
277,0679751343
290,0684833395
291,0743245024
292,0749748001
292,0749748028
268,0963094424
293,1401201172
294,1401201172
295,1401201172
268,1563892278
296,1563892278
297,1563892278
298,1563892278
293,1563898586
268,156971620X
299,156971620X
300,1592571301
301,0374270325
302,0375719180
303,0440235502
25,044023722X
304,1573225487
87,1853260673
305,0060977477
306,0345391691
307,0520011171
308,0520011171
309,0553278746
310,0670856045
311,0670856045
312,0872200760
313,0872200760
314,0872200760
315,0937858994
316,0937858994
317,0937858994
318,0671649949
319,0590431110
320,0064470113
321,0553571486
322,0972044205
323,0312963009
324,0345430476
325,0345435869
326,0345435869
327,0380728729
328,038081840X
329,038081840X
330,0449912302
331,055329198X
332,0671018930
333,0812541642
334,0312988699
335,0486282112
182,0486282112
336,0670815373
337,0385313748
338,1575843366
63,0684193957
177,0345371984
339,0345371984
340,0380730138
341,1573228737
342,9681500555
343,0380711109
